batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
355a8f9f-2a1f-435d-a1a8-c365b92e185b,48,d1983fcbf8e63999,vol_regime_breakout_confirmation,volatility_regime,realized_vol_24h;return_1h;return_24h;rsi_14;volume_zscore_24h,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.191,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,49,5fcf29ab42c5f8b6,volume_divergence_momentum_fade,volume_divergence,return_1h;return_24h;rsi_14;volume_zscore_24h,ok,ok,2.281513,0.270467,0.160695,146,0.575342,4,3.222,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,50,4f702c80614321fb,weekend_volatility_mean_reversion,calendar_effect,day_of_week;realized_vol_24h;return_24h;rsi_14,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.183,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,51,f08ea89e1d0a9197,macd_momentum_acceleration_entry,momentum,macd_hist;return_168h;return_24h;rsi_14;volume_zscore_24h,ok,ok,-0.021673,0.017257,0.223857,36,0.472222,4,3.206,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,52,842c8a6ac4475a89,bollinger_band_oversold_reversion,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;zscore_48,ok,ok,0.284471,0.015703,0.094195,1,1.000000,4,3.197,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,53,4755bacb9cec1e25,low_vol_regime_breakout,volatility_regime,close;macd_hist;realized_vol_24h;return_24h;rsi_14;sma_20,ok,ok,0.312106,0.035001,0.376193,82,0.390244,4,3.256,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,54,4bcd0a14c31f07b3,volume_divergence_momentum_fade,volume_divergence,close;return_1h;return_24h;rsi_14;sma_20;sma_50;volume_zscore_24h,ok,ok,-0.712400,-0.040661,0.277587,126,0.341270,4,3.236,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,55,ec45681e9d06fd88,monday_volatility_compression_breakout,calendar_effect,close;day_of_week;ema_12;macd_hist;realized_vol_24h;return_24h;rsi_14,ok,ok,-1.116303,-0.029882,0.206604,29,0.310345,4,3.222,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,56,956a881f80560240,momentum_acceleration_rsi_breakout,momentum,close;macd_hist;return_24h;rsi_14;sma_20,ok,ok,0.246147,0.027883,0.276315,105,0.466667,4,3.218,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,57,293a0ac11fd2c407,bollinger_oversold_reversion_entry,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.329962,0.018757,0.094195,1,1.000000,4,3.204,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,58,8199c66faf6a656e,volatility_expansion_momentum_entry,volatility_regime,close;realized_vol_24h;return_168h;return_24h;rsi_14;sma_50,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.219,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,59,e80846c21ee131a7,volume_divergence_momentum_reversal,volume_divergence,close;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,0.550092,0.076534,0.456145,77,0.636364,4,3.212,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,60,9561dd18d4f5e4f1,monday_dawn_volatility_fade,calendar_effect,close;day_of_week;hour_of_day;realized_vol_24h;return_24h;rsi_14;sma_20,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,3.201,
355a8f9f-2a1f-435d-a1a8-c365b92e185b,61,328b374d9cb81dd3,macd_histogram_acceleration_entry,momentum,close;ema_12;ema_26;macd_hist;return_168h;return_24h;rsi_14,ok,ok,-1.145435,-0.132868,0.356263,48,0.375000,4,3.216,
