baseline,window_index,train_start,train_end,test_start,test_end,total_return,sharpe_ratio,max_drawdown,max_drawdown_duration_hours,total_trades,win_rate,warmup_bars,effective_start
mean_reversion,1,2020-01-01,2020-12-31,2021-01-01,2021-03-31,0.156494,1.266499,0.205473,889,17,0.647059,48,2020-01-02T23:00:00
mean_reversion,2,2020-04-01,2021-03-31,2021-04-01,2021-06-30,-0.061407,0.018136,0.227517,1177,24,0.583333,48,2020-04-02T23:00:00
mean_reversion,3,2020-07-01,2021-06-30,2021-07-01,2021-09-30,0.230143,2.355392,0.141213,417,25,0.800000,48,2020-07-02T23:00:00
mean_reversion,4,2020-10-01,2021-09-30,2021-10-01,2021-12-31,0.044506,0.668016,0.174615,1213,22,0.636364,48,2020-10-02T23:00:00
