hypothesis_hash,theme,partition,wf_test_period_sharpe,holdout_bear_2022_passed,holdout_bear_2022_filter_state,holdout_bear_2022_total_trades,holdout_bear_2022_sharpe,holdout_bear_2022_in_sample_caveat,holdout_validation_2024_passed,holdout_validation_2024_filter_state,holdout_validation_2024_total_trades,holdout_validation_2024_sharpe,holdout_validation_2024_in_sample_caveat,holdout_eval_2020_v1_passed,holdout_eval_2020_v1_filter_state,holdout_eval_2020_v1_total_trades,holdout_eval_2020_v1_sharpe,holdout_eval_2020_v1_in_sample_caveat,holdout_eval_2021_v1_passed,holdout_eval_2021_v1_filter_state,holdout_eval_2021_v1_total_trades,holdout_eval_2021_v1_sharpe,holdout_eval_2021_v1_in_sample_caveat,pass_count_unfiltered,pass_count_filtered
4fc995739337012a,mean_reversion,audit_only,0.0,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,0,0.0,True,False,excluded,0,0.0,True,0,0
56c43decfe97da2e,momentum,audit_only,-1.595763,True,survivor_passed,39,-0.27965302154096056,False,True,survivor_passed,44,1.9381574860707262,False,False,survivor_failed,60,-0.6109983596402132,True,False,survivor_failed,61,-1.5515569770420294,True,2,2
56f771645ec07d5e,momentum,audit_only,0.102681,False,survivor_failed,75,-0.9159655142226548,False,True,survivor_passed,65,0.5595565823276797,False,False,survivor_failed,66,0.8628068963936396,True,False,survivor_failed,86,0.28611366907217173,True,1,1
579fd1e5a3d2c55b,mean_reversion,audit_only,0.116715,False,survivor_failed,126,-0.9106691379275738,False,True,survivor_passed,112,0.4758570731577465,False,False,survivor_failed,89,0.21889612456079335,True,False,survivor_failed,114,0.08608717928000709,True,1,1
5abf2ef01ba020b1,calendar_effect,primary,1.843661,False,excluded,19,-0.8335773947644494,False,True,survivor_passed,24,1.5045477550809734,False,True,survivor_passed,38,1.6389670467851214,True,True,survivor_passed,49,1.3809700799742017,True,3,3
5bc3697383b11d6c,volume_divergence,audit_only,-0.26262,True,survivor_passed,45,0.3648189656595661,False,True,survivor_passed,91,0.6304800582542949,False,True,survivor_passed,132,1.2711523487811818,True,True,survivor_passed,114,-0.2365484215529961,True,4,4
5db67e1a11575b5e,mean_reversion,audit_only,0.0,False,excluded,0,0.0,False,False,excluded,0,0.0,False,False,excluded,0,0.0,True,False,excluded,0,0.0,True,0,0
5ed0452dc12ba10e,volume_divergence,audit_only,-1.004442,True,survivor_passed,21,1.6001614621403848,False,False,excluded,12,-0.513802387942925,False,False,survivor_failed,24,-0.29658270465150927,True,True,survivor_passed,27,-0.4357166928222761,True,2,2
60c605103472b08f,volume_divergence,audit_only,-1.807317,False,survivor_failed,92,-1.892673920924573,False,False,survivor_failed,115,-0.590986954847141,False,False,survivor_failed,113,0.7350275492619336,True,False,survivor_failed,145,-1.6166005785177082,True,0,0
687553b3bd865266,calendar_effect,audit_only,-0.391389,False,excluded,1,-1.2925966649418605,False,False,excluded,2,-1.1745496463502738,False,False,excluded,3,0.08261151564978216,True,False,excluded,4,0.45459593899485934,True,0,0
6acd747b379c379c,momentum,audit_only,-0.374507,False,survivor_failed,98,-1.5435610315962967,False,False,survivor_failed,95,0.13067464501765244,False,False,survivor_failed,101,0.8809078467463539,True,False,survivor_failed,121,-0.38646036421515834,True,0,0
