baseline,window_index,train_start,train_end,test_start,test_end,total_return,sharpe_ratio,max_drawdown,max_drawdown_duration_hours,total_trades,win_rate,warmup_bars,effective_start
volatility_breakout,1,2020-01-01,2020-12-31,2021-01-01,2021-03-31,0.040065,0.566783,0.209236,1997,39,0.384615,24,2020-01-01T23:00:00
volatility_breakout,2,2020-04-01,2021-03-31,2021-04-01,2021-06-30,0.058150,0.786833,0.120207,480,29,0.379310,24,2020-04-01T23:00:00
volatility_breakout,3,2020-07-01,2021-06-30,2021-07-01,2021-09-30,0.125576,1.506751,0.093661,985,35,0.457143,24,2020-07-01T23:00:00
volatility_breakout,4,2020-10-01,2021-09-30,2021-10-01,2021-12-31,-0.120088,-1.461321,0.228445,1267,41,0.341463,24,2020-10-01T23:00:00
