hypothesis_hash,factors_used,theme,batch_id,wf_test_period_sharpe,wf_test_period_total_trades,holdout_bear_2022_sharpe,holdout_bear_2022_total_trades,holdout_bear_2022_passed,holdout_validation_2024_sharpe,holdout_validation_2024_total_trades,holdout_validation_2024_passed,holdout_eval_2020_v1_sharpe,holdout_eval_2020_v1_total_trades,holdout_eval_2020_v1_passed,holdout_eval_2021_v1_sharpe,holdout_eval_2021_v1_total_trades,holdout_eval_2021_v1_passed,filtered
18d92ce5d0b40cc7,bb_upper_24_2;close;macd_hist;return_24h;rsi_14;sma_24;zscore_48,mean_reversion,4f894318-eb69-48b5-95ef-e22abe3ecdd1,1.14116,73,-0.34102735849135,49,True,1.043150345480158,67,True,1.2623895244363073,73,True,1.0740165043689407,72,True,True
22864f01a49e3452,close;day_of_week;realized_vol_24h;return_24h;rsi_14;sma_20,calendar_effect,4f894318-eb69-48b5-95ef-e22abe3ecdd1,0.402264,32,-0.49769238372181507,35,True,-0.21753772818927097,34,True,1.496251733540383,33,True,0.3417797800532541,32,True,True
2433a38b2f9a7211,close;ema_12;ema_26;macd_hist;return_24h;sma_20;volume_zscore_24h,volume_divergence,a12c2a65-4314-4dde-be6e-968a0c70ee6e,0.798523,118,0.0988956228015567,85,True,1.646432834633784,115,True,0.3533520402826759,132,True,0.8414435390576639,118,True,True
2b1ca44778281d97,close;day_of_week;ema_12;hour_of_day;macd_hist;return_168h;return_24h;rsi_14,calendar_effect,4f894318-eb69-48b5-95ef-e22abe3ecdd1,1.762288,14,0.045533812905641395,12,True,-0.3511328622297171,17,True,1.601128210309474,25,True,1.1575041857933526,13,True,False
2c5e3cc08d407b73,day_of_week;hour_of_day;return_168h;return_24h,calendar_effect,355a8f9f-2a1f-435d-a1a8-c365b92e185b,0.235629,26,0.3333645769825803,23,True,0.2637085005637281,23,True,1.3310867534651645,10,True,-0.19116474581145254,26,True,False
2cc19d1b5e2c9024,close;day_of_week;hour_of_day;return_24h;rsi_14;sma_20,calendar_effect,71d42a07-d88f-431a-a653-601010cf1921,0.768022,24,0.04683882490726748,17,True,-0.23383194704328128,22,True,-0.31928389588085904,18,True,0.9065025246052805,24,True,False
34588c948b1ff12b,close;day_of_week;ema_12;macd_hist;realized_vol_24h;return_24h;rsi_14;volume_zscore_24h,calendar_effect,4f894318-eb69-48b5-95ef-e22abe3ecdd1,0.624753,33,0.7066090011580962,39,True,0.14618189888642222,36,True,1.4069382392468315,32,True,0.5782817752681149,33,True,True
35dcfcfbee4cfafc,close;macd_hist;return_1h;return_24h;rsi_14;sma_50;volume_zscore_24h,volume_divergence,91ad68ed-6470-45a7-8735-171c39ff25c3,1.549998,27,0.6221310058928581,26,True,1.2997549263603674,24,True,-0.11712191079790879,33,True,1.0990309291300846,26,True,True
38a1bb228f103c26,bb_upper_24_2;close;ema_12;ema_26;macd_hist;realized_vol_24h;return_1h;return_24h;volume_zscore_24h,volatility_regime,4f894318-eb69-48b5-95ef-e22abe3ecdd1,-1.075468,26,0.2429670636689438,27,True,0.48242185511044167,30,True,0.7086172294442838,25,True,-0.36190409934936646,27,True,True
3a2559fbeff71f94,close;day_of_week;ema_12;hour_of_day;return_24h;rsi_14;sma_20,calendar_effect,a12c2a65-4314-4dde-be6e-968a0c70ee6e,-0.165339,31,-0.38722245457141724,37,True,0.733234339340878,32,True,0.3770396159205959,32,True,-0.0569697583735393,31,True,True
3b013ac903ab047b,close;day_of_week;macd_hist;return_168h;return_1h;return_24h;sma_20;sma_50,calendar_effect,91ad68ed-6470-45a7-8735-171c39ff25c3,-0.011203,10,0.44597283138470906,7,True,0.8360003905417206,12,True,1.739756389548151,12,True,0.1238456501194902,10,True,False
3c3ba9b95d2ea37c,day_of_week;hour_of_day;macd_hist;return_1h;return_24h;rsi_14,calendar_effect,4f894318-eb69-48b5-95ef-e22abe3ecdd1,0.240705,18,0.10695808702737476,10,True,1.6679137206778982,11,True,1.4203303910236043,9,True,0.19351042913038732,18,True,False
3d3938aed6376f04,close;day_of_week;hour_of_day;macd_hist;return_168h;return_24h;rsi_14;sma_20,calendar_effect,4f894318-eb69-48b5-95ef-e22abe3ecdd1,1.516271,40,-0.29589193631132404,25,True,-0.16999354952369158,40,True,-0.08928939651025126,39,True,1.6153765598544918,39,True,True
3ebec90d7be309ab,close;return_24h;rsi_14;sma_50;volume_zscore_24h,volume_divergence,a12c2a65-4314-4dde-be6e-968a0c70ee6e,0.147442,21,-0.49163197051968716,26,True,0.9883048164969802,27,True,1.456732134537203,23,True,-0.3103983345016234,21,True,True
