baseline,window_index,train_start,train_end,test_start,test_end,total_return,sharpe_ratio,max_drawdown,max_drawdown_duration_hours,total_trades,win_rate,warmup_bars,effective_start
sma_crossover,1,2020-01-01,2020-12-31,2021-01-01,2021-03-31,0.391228,2.243281,0.199996,541,20,0.400000,50,2020-01-03T02:00:00
sma_crossover,2,2020-04-01,2021-03-31,2021-04-01,2021-06-30,-0.279637,-2.113526,0.386292,1461,24,0.333333,50,2020-04-03T02:00:00
sma_crossover,3,2020-07-01,2021-06-30,2021-07-01,2021-09-30,-0.018983,0.081637,0.205315,1288,25,0.320000,50,2020-07-03T02:00:00
sma_crossover,4,2020-10-01,2021-09-30,2021-10-01,2021-12-31,-0.083846,-0.670162,0.317930,1267,26,0.307692,50,2020-10-03T02:00:00
