batch_id,position,hypothesis_hash,name,theme,factors_used,compile_status,runtime_status,wf_test_period_sharpe,wf_test_period_return,wf_test_period_max_drawdown,wf_test_period_total_trades,wf_test_period_win_rate,wf_test_period_window_count,elapsed_seconds,error_message
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,29,2c9c4cfdeb494d11,volume_surge_momentum_divergence,volume_divergence,close;realized_vol_24h;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-0.620999,-0.061350,0.358872,77,0.337662,4,5.943,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,30,4c42036456cb46f0,monday_dip_buy_calendar_anomaly,calendar_effect,close;day_of_week;return_24h;rsi_14;sma_20,ok,ok,0.631290,0.075794,0.195271,104,0.451923,4,6.094,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,31,8be125eb7a594cc4,macd_momentum_surge_above_ma,momentum,close;macd_hist;return_24h;rsi_14;sma_50,ok,ok,0.053395,0.007020,0.130855,102,0.352941,4,7.542,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,32,4c42d3ef4d41b877,bb_upper_reversion_zscore_fade,mean_reversion,bb_upper_24_2;close;return_24h;rsi_14;sma_24;zscore_48,ok,ok,0.803558,0.099722,0.223826,69,0.478261,4,5.841,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,33,e1010fab991bab46,high_vol_regime_fade_extremes,volatility_regime,close;realized_vol_24h;return_24h;rsi_14;sma_24;volume_zscore_24h;zscore_48,ok,ok,0.000000,0.000000,0.000000,0,0.000000,4,5.367,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,34,12decad2a37314ba,volume_surge_weak_price_divergence,volume_divergence,close;return_1h;return_24h;rsi_14;sma_50;volume_zscore_24h,ok,ok,-1.755003,-0.121637,0.353886,60,0.383333,4,5.541,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,35,5abf2ef01ba020b1,monday_dip_fade_weekly_momentum,calendar_effect,day_of_week;return_168h;return_1h;return_24h;rsi_14,ok,ok,1.843661,0.037168,0.101479,57,0.473684,4,5.819,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,36,d42b2929c6219876,macd_hist_reversal_momentum,momentum,close;macd_hist;return_1h;return_24h;rsi_14;sma_50,ok,ok,-0.984806,-0.059293,0.257501,98,0.346939,4,6.316,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,37,e21c332bddb10d38,bollinger_overshoot_mean_revert,mean_reversion,bb_upper_24_2;close;realized_vol_24h;return_1h;return_24h;rsi_14;sma_24,ok,ok,0.403244,0.017995,0.269449,101,0.376238,4,6.052,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,38,eb15a7d35d168d48,low_vol_breakout_trend_continuation,volatility_regime,close;ema_26;realized_vol_24h;return_168h;return_1h;return_24h;rsi_14;sma_50,ok,ok,0.927490,0.082516,0.235366,68,0.500000,4,6.615,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,39,19c53e916e4ce7f6,volume_surge_breakout_confirmation,volume_divergence,close;ema_12;return_24h;rsi_14;sma_20;volume_zscore_24h,ok,ok,-1.953214,-0.087580,0.179138,28,0.214286,4,5.591,
4c9634cd-ef2b-4f5c-a78a-c558c24c0a7b,40,687553b3bd865266,monday_dip_buy_momentum_recovery,calendar_effect,close;day_of_week;return_168h;return_24h;rsi_14;sma_50,ok,ok,-0.391389,0.002299,0.084687,5,0.200000,4,5.333,
